id, owner, sub, status, result, testName, started, discoveryUrl
RzGmSHSEVZcVfdh, https://developer.com, developer, CREATED, null, consent-api-test-client-limits, 2021-11-04T14:27:57.221270Z, TBD
cRLhO6Vq1ufRKdl, https://developer.com, developer, CREATED, null, consent-api-status-test, 2021-11-04T14:13:20.527455Z, TBD
CUBOJWmQZYeXxaO, https://developer.com, developer, CREATED, null, consent-api-test-permission-groups, 2021-11-04T14:12:59.089230Z, TBD
HuuGYfU6Mbw7YCs, https://developer.com, developer, CREATED, null, consent-api-test, 2021-11-04T14:12:31.393788Z, TBD
jRIAeFaHdGCNmxs, https://developer.com, developer, CREATED, null, consent-api-status-test, 2021-11-04T13:56:10.102419Z, TBD
Aw3VKvTXayK0nQv, https://developer.com, developer, CREATED, null, consent-api-test, 2021-11-04T13:55:52.832084Z, TBD
fjufFlVxUwQt3YB, https://developer.com, developer, CREATED, null, consent-api-test-permission-groups, 2021-11-04T13:54:51.854685Z, TBD
PouDfjQos0qOZpO, https://developer.com, developer, CREATED, null, consent-api-test, 2021-11-04T13:54:36.656487Z, TBD
7j4V2IyhhaPEvd1, https://developer.com, developer, CREATED, null, consent-api-test, 2021-11-04T13:53:58.550583Z, TBD
Xsh6HG5cQNeY8jC, https://developer.com, developer, CREATED, null, payments-api-zero-centavos-test, 2021-11-04T09:51:14.871220Z, TBD
